																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																							80																																																																									
																																						80																																																																										
																																					80																																																																											
																																				80																																																																												
																																			80																																																																													
																																		80																																																																														
																																	80																																																																															
																																80																																																																																
																															80																																																																																	
																														80																																																																																		
																													80																																																																																			
																												80																																																																																				
																											80																																																																																					
																										80																																																																																						
																									80																																																																																							
																								80																																																																																								
																							80																																																																																									
																						80																																																																																										
																					80																																																																																											
																				80																																																																																												
																			80																																																																																													
																		80																																																																																														
																	80																																																																																															
																80																																																																																																
															80																																																																																																	
														80																																																																																																		
													80																																																																																																			
												80																																																																																																				
											80																																																																																																					
										80																																																																																																						
									80																																																																																																							
								80																																																																																																								
							80																																																																																																		16							
						80																																																																																																				16						
					80																																																																																																						16					
				80																																																																																																								16				
			80																																																																																																										16			
		80																																																																																																												16		
	80																																																																																																														16	
80																																																																																																																16
